Date,,Name,Type
1-Jan,Thursday,New Year's Day,National holiday
2-Jan,Friday,New Year Holiday,National holiday
3-Jan,Saturday,The Prophet's Birthday,Muslim
3-Jan,Saturday,New Year Holiday,National holiday
4-Jan,Sunday,New Year Holiday,National holiday
5-Jan,Monday,New Year Holiday,National holiday
6-Jan,Tuesday,New Year Holiday,National holiday
7-Jan,Wednesday,Orthodox Christmas Day,"National holiday, Orthodox"
8-Jan,Thursday,New Year Holiday,National holiday
9-Jan,Friday,New Year Holiday,National holiday
14-Jan,Wednesday,Old New Year,Observance
14-Feb,Saturday,Valentine's Day,Observance
23-Feb,Monday,Defender of the Fatherland Day,National holiday
27-Feb,Friday,Special Operations Forces Day,Observance
8-Mar,Sunday,International Women's Day,National holiday
9-Mar,Monday,Day off for International Women's Day,National holiday
21-Mar,Saturday,March Equinox,Season
12-Apr,Sunday,Orthodox Easter Day,"Observance, Orthodox"
1-May,Friday,Spring and Labor Day,National holiday
4-May,Monday,Public Holiday,National holiday
9-May,Saturday,Victory Day,National holiday
11-May,Monday,Day off for Victory Day,National holiday
16-May,Saturday,Isra and Mi'raj,Muslim
12-Jun,Friday,Russia Day,National holiday
18-Jun,Thursday,Ramadan starts,Muslim
21-Jun,Sunday,June Solstice,Season
13-Jul,Monday,Lailat al-Qadr,Muslim
18-Jul,Saturday,Eid al-Fitr,Muslim
1-Sep,Tuesday,Day of Knowledge,Observance
23-Sep,Wednesday,September Equinox,Season
24-Sep,Thursday,Eid al-Adha,Muslim
15-Oct,Thursday,Muharram,Muslim
4-Nov,Wednesday,Unity Day,National holiday
22-Dec,Tuesday,December Solstice,Season
24-Dec,Thursday,The Prophet's Birthday,Muslim
