Date,,Name,Type
1-Jan,Friday,New Year's Day,National holiday
4-Jan,Monday,New Year Holiday,National holiday
5-Jan,Tuesday,New Year Holiday,National holiday
6-Jan,Wednesday,New Year Holiday,National holiday
7-Jan,Thursday,Orthodox Christmas Day,"National holiday, Orthodox"
8-Jan,Friday,New Year Holiday,National holiday
14-Jan,Thursday,Old New Year,Observance
14-Feb,Sunday,Valentine's Day,Observance
23-Feb,Tuesday,Defender of the Fatherland Day,National holiday
27-Feb,Saturday,Special Operations Forces Day,Observance
7-Mar,Monday,New Year Holiday Substitution,National holiday
8-Mar,Tuesday,International Women's Day,National holiday
20-Mar,Sunday,March Equinox,Season
1-May,Sunday,Orthodox Easter Day,"Observance, Orthodox"
1-May,Sunday,Spring and Labor Day,National holiday
2-May,Monday,Day off for Spring and Labor Day,National holiday
3-May,Tuesday,New Year Holiday Substitution,National holiday
5-May,Thursday,Isra and Mi'raj,Muslim
9-May,Monday,Victory Day,National holiday
7-Jun,Tuesday,Ramadan starts,Muslim
12-Jun,Sunday,Russia Day,National holiday
13-Jun,Monday,Day off for Russia Day,National holiday
21-Jun,Tuesday,June Solstice,Season
2-Jul,Saturday,Lailat al-Qadr,Muslim
6-Jul,Wednesday,Eid al-Fitr,Muslim
1-Sep,Thursday,Day of Knowledge,Observance
13-Sep,Tuesday,Eid al-Adha,Muslim
22-Sep,Thursday,September Equinox,Season
3-Oct,Monday,Muharram,Muslim
4-Nov,Friday,Unity Day,National holiday
12-Dec,Monday,The Prophet's Birthday,Muslim
21-Dec,Wednesday,December Solstice,Season
